t,i,S,Y,P,U,A,D,O,X0,X1
0,0,1,1,0,0,1,,,2.4237961958844454,1.8239461954998746
0,1,0,0,0,0,1,,,4.2376702657125485,-2.0712792597958565
0,2,0,0,0,0,1,,,-0.3470382685167599,-1.5438554712635835
0,3,1,1,0,0,1,,,1.879361122259811,2.0519998688784797
0,4,0,0,0,0,1,,,-3.9063972878943685,-1.1841236618466326
0,5,0,0,0,0,1,,,-11.010814541947248,-3.7181031489041296
0,6,1,0,0,0,1,,,-2.5351205549351707,2.680706506370892
0,7,1,1,0,0,1,,,-2.372265648134549,-1.4286328696722936
0,8,1,0,0,0,1,,,0.03307068672156488,3.0351719341890995
0,9,0,0,0,0,1,,,-7.095893379397699,-1.7609044893787658
0,10,1,1,0,0,1,,,3.079140655523994,3.122199781449628
0,11,0,0,0,0,1,,,1.9483353611682364,-2.8061465941440384
0,12,1,1,0,0,1,,,2.765906131880927,0.23413388789818823
0,13,1,0,0,0,1,,,2.695795187807993,3.3068052325023682
0,14,1,1,0,0,1,,,1.926901451998523,5.784041384923114
0,15,0,0,0,0,1,,,-3.754000278776834,-1.37408671237371
0,16,0,0,0,0,1,,,-1.3981080869525573,-2.8581293637395895
0,17,0,0,0,0,1,,,-6.151379991958995,-4.428466782868112
0,18,0,1,0,0,1,,,0.7262021910033654,-1.4821322137230513
0,19,1,0,0,0,1,,,-0.8909776521467481,2.836035375068499
0,20,1,1,0,0,1,,,2.4847097434200625,-0.22838810451952662
0,21,1,0,0,0,1,,,2.8233188123775497,-0.48766011901493167
0,22,1,1,0,0,1,,,6.4336642795983625,2.2919421006418212
0,23,1,0,0,0,1,,,-0.3657594859502109,0.25689370890349594
0,24,1,0,0,0,1,,,4.230165037223117,2.126872229878427
0,25,1,1,0,0,1,,,1.6317491459038362,-0.8897128397165504
0,26,1,1,0,0,1,,,0.28818677617571087,-0.8273703050815162
0,27,0,1,0,0,1,,,1.937842514099637,-0.2738240890417085
0,28,0,1,0,0,1,,,-0.3962821879330414,-3.6442221855675623
0,29,0,0,0,0,1,,,-4.795891009921485,1.32231137638392
0,30,1,0,0,0,1,,,-0.12918338120948025,5.641083513771388
0,31,1,1,0,0,1,,,1.0618707979436746,3.090426878754892
0,32,0,0,0,0,1,,,-5.461988833382035,-0.545308592296518
0,33,1,0,0,0,1,,,0.06898048033754112,7.9649845133887895
0,34,0,0,0,0,1,,,-7.367251754890631,-4.369436932538234
0,35,1,0,0,0,1,,,0.7200843146358569,1.841383250703128
0,36,0,0,0,0,1,,,-4.434524656054809,-1.7846741190688797
0,37,1,1,0,0,1,,,2.417707950118318,1.1491926208022696
0,38,1,0,0,0,1,,,2.682403867178848,4.535070037238935
0,39,1,1,0,0,1,,,1.559627900273607,3.4556462983733827
0,40,0,0,0,0,1,,,-0.9501690487702268,0.39775319772626583
0,41,0,1,0,0,1,,,0.27405755168851,-1.302116470939461
0,42,1,0,0,0,1,,,3.6717369055047917,2.8789698349985127
0,43,0,0,0,0,1,,,-3.1539143870355772,1.446764514269148
0,44,0,0,0,0,1,,,-0.4426474735749666,-1.1714886410477208
0,45,0,0,0,0,1,,,-7.304875894647078,-5.399734490995273
0,46,1,1,0,0,1,,,3.438654733002653,2.3749923154522863
0,47,0,1,0,0,1,,,-2.502362785168117,-4.87247003361087
0,48,0,1,0,0,1,,,8.124235485098028,-2.1820678366498556
0,49,0,0,0,0,1,,,-7.654607624926095,-4.1706875044725145
0,50,0,0,0,0,1,,,-2.070410970318931,-2.6613545153782967
0,51,0,1,0,0,1,,,1.3928613678075843,-4.320270903065317
0,52,0,0,0,0,1,,,-1.137232112418534,-0.14086792024333694
0,53,0,0,0,0,1,,,-4.6607854351169635,-0.862107052596695
0,54,0,1,0,0,1,,,9.268763151740776,-4.514802885178115
0,55,1,1,0,0,1,,,1.7212738777605463,4.889203052228577
0,56,1,1,0,0,1,,,1.6292430172890926,3.1381704328768913
0,57,1,0,0,0,1,,,1.595060575007256,-0.004615476871882684
0,58,1,0,0,0,1,,,1.4298552355107446,-2.076665401541719
0,59,0,0,0,0,1,,,-1.3270071536236658,0.962099429093553
0,60,0,0,0,0,1,,,-2.1189576234552123,-0.4265289636783962
0,61,1,0,0,0,1,,,3.554546784330488,5.08051666920651
0,62,0,0,0,0,1,,,3.0775847924578477,-0.7348424406213072
0,63,0,0,0,0,1,,,-5.90065275564333,-6.613900957095083
0,64,1,1,0,0,1,,,4.96546039903227,2.7829997072205703
0,65,1,0,0,0,1,,,-0.631613921311954,2.9783738755664886
0,66,1,1,0,0,1,,,3.589119560791466,5.535771800251056
0,67,0,1,0,0,1,,,-0.038113995112547094,-1.7801450906647933
0,68,0,0,0,0,1,,,-1.458548827034796,-2.119650810260741
0,69,1,1,0,0,1,,,5.45738415610972,5.686515990360862
0,70,1,0,0,0,1,,,-0.0901118440030313,1.717478629712891
0,71,0,0,0,0,1,,,-6.642233604512295,-2.634167304752711
0,72,1,1,0,0,1,,,2.2528505286691547,5.074150250527429
0,73,1,0,0,0,1,,,0.8621443597406273,1.3433710663847696
0,74,1,0,0,0,1,,,4.0222481728402855,3.379739740933238
0,75,1,1,0,0,1,,,1.7125647692037136,-1.3022762935639953
0,76,0,0,0,0,1,,,-0.859517074278709,-1.170758671543009
0,77,1,1,0,0,1,,,2.455258950049293,2.5123966925551544
0,78,0,0,0,0,1,,,-0.3991443117512494,1.5293876644630942
0,79,1,0,0,0,1,,,2.006615011559524,0.9901362635400526
0,80,1,0,0,0,1,,,4.771923016947809,-0.36610087176709927
0,81,0,0,0,0,1,,,1.6436731971676077,-4.648225877140434
0,82,0,0,0,0,1,,,-2.5703239165464304,1.3052589344260093
0,83,0,0,0,0,1,,,-6.674897981208239,-2.6508392571292125
