dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0060820738164635291,38.600000000000001,31.800000000000001,6.8000000000000007,3.0208231498680238,9.5
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0069799577357444464,100,100,0,3.8000000000000034,0
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,5,0.0043260682506239823,36,14.199999999999999,21.800000000000001,15.485133020344282,24.099999999999998
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,False,5,0.0050353665146495308,100,100,0,13.4,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,True,5,0.0039693110805246734,38.800000000000004,16,22.800000000000004,19.652061855670098,24.75
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,False,5,0.0046188649577402208,100,100,0,15.000000000000002,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,True,5,0.0060887058837179042,36.600000000000001,32.399999999999999,4.2000000000000028,2.6108075288403088,6.6500000000000004
Base,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,False,5,0.0068284522906565392,100,100,0,0.60000000000000053,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,5,0.0060638952673823798,38.600000000000001,31.800000000000001,6.8000000000000007,3.0208231498680238,9.5
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.006941129896451903,100,100,0,3.8000000000000034,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0062322281681969072,41.399999999999999,33.800000000000004,7.5999999999999943,8.255438355772803,7.8500000000000014
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,5,0.006165643971589696,100,100,0,5.4000000000000048,0
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,True,5,0.0044231037483399849,38.200000000000003,16.600000000000001,21.600000000000001,12.489749574213082,20.249999999999996
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),7,7,False,5,0.0043252266228164249,100,100,0,16.199999999999999,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,5,0.0042338057135606899,41.199999999999996,17.599999999999998,23.599999999999998,11.661518093556927,21.849999999999994
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,5,0.0040984531622111353,100,100,0,17,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,5,0.006086149768181448,40.400000000000006,35,5.4000000000000057,4.1669024045261622,5.1500000000000021
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,5,0.0060332759854242468,100,100,0,2.8000000000000025,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,5,0.0062310367907828512,41.399999999999999,33.800000000000004,7.5999999999999943,8.255438355772803,7.8500000000000014
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,5,0.0061482449437754161,100,100,0,5.4000000000000048,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,5,0.0068471402868777176,40.200000000000003,26,14.200000000000003,6.8924607730577954,12.750000000000002
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,5,0.0073864639340993632,100,100,0,9.1999999999999975,0
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,True,5,0.0045763118476842557,32.600000000000001,16,16.600000000000001,25.030674846625768,18.399999999999999
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),13,13,False,5,0.0053432805366081526,100,100,0,19.199999999999999,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,5,0.0043478340512743685,36,16.199999999999999,19.800000000000001,24.259259259259263,21.799999999999997
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,5,0.004932880520844507,100,100,0,19.000000000000007,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,5,0.0066176641270385694,38,28.799999999999997,9.2000000000000028,6.4035087719298218,7.3499999999999996
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,5,0.0071957339073001059,100,100,0,6.9999999999999947,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,5,0.0068193621635662671,40.200000000000003,26,14.200000000000003,6.8924607730577954,12.750000000000002
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,5,0.0073554970228756344,100,100,0,9.1999999999999975,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,5,0.0060346184154845828,39.800000000000004,31,8.8000000000000043,2.3180418220132948,6.0499999999999972
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,5,0.0058032864554532493,100,100,0,-1.8000000000000016,0
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,True,5,0.0043826533059885264,37.200000000000003,15.4,21.800000000000004,8.5812037424940701,18.699999999999999
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),42,42,False,5,0.0043229365920800511,100,100,0,12,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,5,0.0039643582591611937,39.399999999999999,17.800000000000001,21.599999999999998,10.026806593281245,18.899999999999999
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,5,0.0038349383441299567,100,100,0,10.399999999999999,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,5,0.0059822172414552011,35.799999999999997,34.599999999999994,1.2000000000000028,1.7018116059030586,3.0500000000000007
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,5,0.0056769149633467686,100,100,0,-2.6000000000000023,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,5,0.0059992439995917302,39.800000000000004,31,8.8000000000000043,2.3180418220132948,6.0499999999999972
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,5,0.0057785227057930433,100,100,0,-1.8000000000000016,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,5,0.0052795451019715944,39,29.799999999999997,9.2000000000000028,6.7768026157287835,6.0500000000000007
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,False,5,0.0051335651904519386,100,100,0,4.2000000000000037,0
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),99,99,True,5,0.0037028707705298869,37.600000000000001,14.799999999999999,22.800000000000004,20.342150661299602,22.300000000000001
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),99,99,False,5,0.0039058256901911559,100,100,0,12.6,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,True,5,0.0035198763096125907,39.200000000000003,17.199999999999999,22.000000000000004,23.077835785476982,21.400000000000002
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,False,5,0.003812189682759537,100,100,0,13,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),99,99,True,5,0.0053273480749879143,36.399999999999999,32.399999999999999,4,3.1746031746031744,2.9000000000000075
