dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Base,Base (80/20),Baseline,False,0.0062937834574677389,0.00080844285241740027,0,0,0,0
Base,Base (80/20),Baseline,True,0.0060951211577988662,0.00050066480215470329,9.3200000000000021,2.5848791074245634,8.4400000000000013,2.5088642848906764
Base,Base (80/20),DP,False,0.0062700298643743047,0.00079901227016927539,0,0,0,0
Base,Base (80/20),DP,True,0.006076166508976133,0.00049732614114940995,9.3200000000000021,2.5848791074245634,8.4400000000000013,2.5088642848906764
Base,Base (80/20),EO,False,0.0061669355444847309,0.00076049006319705637,0,0,0,0
Base,Base (80/20),EO,True,0.0060204170190762078,0.00041170184735518146,4.8000000000000025,2.5953805116013338,5.0200000000000014,1.8153787483607913
Base,Base (80/20),LCF-active,False,0.0042594653335370717,0.0004447155711693265,0,0,0,0
Base,Base (80/20),LCF-active,True,0.0040070370828267036,0.00028570507093358445,21.960000000000001,1.2799999999999998,21.739999999999998,1.8577943912069497
Base,Base (80/20),LCF-original,False,0.0045865271912690631,0.00052445112041423836,0,0,0,0
Base,Base (80/20),LCF-original,True,0.0042822015846333272,0.00030132815714672842,20.920000000000002,2.2003636063160115,20.75,2.1725560982400429
Base,Erdős–Rényi,Baseline,False,0.0061238662040254081,0.00080710043520660117,0,0,0,0
Base,Erdős–Rényi,Baseline,True,0.0059700635595055559,0.00040584911950481789,7.8399999999999981,1.8906083676954377,6.7900000000000018,1.9492049661336266
Base,Erdős–Rényi,DP,False,0.0061005626893304802,0.00079881285334942648,0,0,0,0
Base,Erdős–Rényi,DP,True,0.0059569233623022692,0.00039017928952470965,7.8399999999999981,1.8906083676954377,6.7900000000000018,1.9492049661336266
Base,Erdős–Rényi,EO,False,0.0060135749856840004,0.00076301670597368992,0,0,0,0
Base,Erdős–Rényi,EO,True,0.0059043825367105949,0.0003328164084334123,3.2799999999999954,1.1702991070662252,3.9999999999999987,1.3049904214207864
Base,Erdős–Rényi,LCF-active,False,0.0031097094964658732,0.00036412201676622587,0,0,0,0
Base,Erdős–Rényi,LCF-active,True,0.0029703677951383733,0.00013102476953261128,21.399999999999999,3.440930106817051,20.770000000000003,2.9559431658947717
Base,Erdős–Rényi,LCF-original,False,0.0048247149018469269,0.00051763555259259539,0,0,0,0
Base,Erdős–Rényi,LCF-original,True,0.0045888004611182916,0.00024982384809963163,20.119999999999997,2.643028565869086,20.68,3.2639852940845175
Base,Watts–Strogatz,Baseline,False,0.0061554371692148502,0.00084981245787476829,0,0,0,0
Base,Watts–Strogatz,Baseline,True,0.0060795750026586774,0.0004003217076637886,9.120000000000001,3.0505081543900188,8.9499999999999993,3.6113709308239175
Base,Watts–Strogatz,DP,False,0.0061551855079480912,0.00085044822959454082,0,0,0,0
Base,Watts–Strogatz,DP,True,0.0060771172604662024,0.00040148356590660484,9.120000000000001,3.0505081543900188,8.9199999999999999,3.6434324475691882
Base,Watts–Strogatz,EO,False,0.0060557726838258667,0.00079195845367791462,0,0,0,0
Base,Watts–Strogatz,EO,True,0.0060431144744820921,0.00041871290423561798,4.6799999999999971,2.8777769197767911,5.8299999999999983,3.0900809050897036
Base,Watts–Strogatz,LCF-active,False,0.0040706245373420382,0.00042767753116907612,0,0,0,0
Base,Watts–Strogatz,LCF-active,True,0.0039081587177363323,0.0001864198644121076,21.600000000000001,1.7977764043395399,21.779999999999998,1.9096072894707961
Base,Watts–Strogatz,LCF-original,False,0.0044555025635193866,0.00051000152759820476,0,0,0,0
Base,Watts–Strogatz,LCF-original,True,0.0042500188176353591,0.00019002598708530745,20.080000000000002,1.9082976707002499,21.509999999999998,1.7653328298085902
Variant I,Base (80/20),Baseline,False,0.0081296691845505805,0.00087018703117363488,0,0,0,0
Variant I,Base (80/20),Baseline,True,0.0081632129387976919,0.0006295466831770151,1.8799999999999997,1.953867958691168,1.9200000000000006,0.59715994507334325
Variant I,Base (80/20),DP,False,0.0081491452214338626,0.000873364191793168,0,0,0,0
Variant I,Base (80/20),DP,True,0.0081883987391871745,0.00062193708558065663,1.8799999999999997,1.953867958691168,1.9200000000000006,0.59715994507334325
Variant I,Base (80/20),EO,False,0.0080056455650446834,0.000869055766880426,0,0,0,0
Variant I,Base (80/20),EO,True,0.0080914962887021387,0.00056939202541803481,2.9200000000000017,1.2172099243762355,1.9800000000000029,1.142190877217989
Variant I,Base (80/20),LCF-active,False,0.0045699221816271288,0.0004533194020021882,0,0,0,0
