dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,1,0.0064928992551834819,100,100,0,7.4000000000000066
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,2,0.0065651580281215205,81.599999999999994,70.399999999999991,11.200000000000003,3.275401069518713
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,3,0.0061895156866905721,63,52.600000000000001,10.399999999999999,0.88719898605830183
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,4,0.0060673178954243623,50.399999999999999,40.799999999999997,9.6000000000000014,-2.3342670401493959
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0060820738164635291,38.600000000000001,31.800000000000001,6.8000000000000007,3.0208231498680238
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,1,0.0064928992551834819,100,100,0,7.4000000000000066
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,2,0.0065651580281215205,100,100,0,4.0000000000000036
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,3,0.0059896876825394907,100,100,0,3.8000000000000034
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,4,0.006241497394808504,100,100,0,-5.0000000000000044
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0069799577357444464,100,100,0,3.8000000000000034
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,1,0.0044450759887695312,100,100,0,17.399999999999999
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,2,0.0044764173724214373,82.599999999999994,57.799999999999997,24.799999999999997,14.23460710306057
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,3,0.0043345671483018267,61.199999999999996,34.599999999999994,26.600000000000001,10.897653859231561
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,4,0.004358348470927309,47.199999999999996,24,23.199999999999996,7.9378531073446279
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,True,5,0.0043260682506239823,36,14.199999999999999,21.800000000000001,15.485133020344282
Base,Base (80/20),LCF-original,Base (80/20),Base (80/20),2026,2026,False,1,0.0044450759887695312,100,100,0,17.399999999999999
