dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Base (80/20),Baseline,False,1,approval_rate_difference,4.3199999999999994,3.2461669704437575,5
Base,Base (80/20),Baseline,False,1,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,1,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,1,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,1,unfairness,0.0064928992551834819,0,5
Base,Base (80/20),Baseline,False,2,approval_rate_difference,4.3200000000000021,2.9246538256689445,5
Base,Base (80/20),Baseline,False,2,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,2,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,2,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,2,unfairness,0.0064403883391258134,0.00044600579334927296,5
Base,Base (80/20),Baseline,False,3,approval_rate_difference,6.080000000000001,4.0191541398657495,5
Base,Base (80/20),Baseline,False,3,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,3,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,3,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,3,unfairness,0.0063238516698167491,0.00065858717885883397,5
Base,Base (80/20),Baseline,False,4,approval_rate_difference,2.280000000000002,4.096046874731786,5
Base,Base (80/20),Baseline,False,4,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,4,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,4,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,4,unfairness,0.0057558405121683979,0.0005496244270965675,5
Base,Base (80/20),Baseline,False,5,approval_rate_difference,4.1600000000000019,3.538135101999357,5
Base,Base (80/20),Baseline,False,5,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,5,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,5,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,5,unfairness,0.0062937834574677389,0.00080844285241740027,5
Base,Base (80/20),Baseline,True,1,approval_rate_difference,4.3199999999999994,3.2461669704437575,5
Base,Base (80/20),Baseline,True,1,retention_disparity,0,0,5
Base,Base (80/20),Baseline,True,1,retention_s0,100,0,5
Base,Base (80/20),Baseline,True,1,retention_s1,100,0,5
Base,Base (80/20),Baseline,True,1,unfairness,0.0064928992551834819,0,5
Base,Base (80/20),Baseline,True,2,approval_rate_difference,4.2302524908111154,1.9873147575550945,5
Base,Base (80/20),Baseline,True,2,retention_disparity,5.400000000000003,4.065464303127011,5
Base,Base (80/20),Baseline,True,2,retention_s0,79.840000000000003,2.1256528408938253,5
Base,Base (80/20),Baseline,True,2,retention_s1,74.439999999999998,2.5842600488340977,5
Base,Base (80/20),Baseline,True,2,unfairness,0.0064403883391258134,0.00044600579334927296,5
Base,Base (80/20),Baseline,True,3,approval_rate_difference,6.027861413709636,4.5739615836982903,5
Base,Base (80/20),Baseline,True,3,retention_disparity,8.2799999999999976,3.5363257768480603,5
Base,Base (80/20),Baseline,True,3,retention_s0,62.079999999999998,1.7325126262166193,5
Base,Base (80/20),Baseline,True,3,retention_s1,53.799999999999997,1.9718012070186008,5
Base,Base (80/20),Baseline,True,3,unfairness,0.0064645710338485651,0.00053546998935989274,5
Base,Base (80/20),Baseline,True,4,approval_rate_difference,1.7823319746738009,3.4378569209949297,5
Base,Base (80/20),Baseline,True,4,retention_disparity,10.760000000000002,2.2357101779971402,5
Base,Base (80/20),Baseline,True,4,retention_s0,50.079999999999998,0.48332183894378206,5
Base,Base (80/20),Baseline,True,4,retention_s1,39.32,2.2789471253190579,5
Base,Base (80/20),Baseline,True,4,unfairness,0.0057869593297851683,0.00043148232775066858,5
Base,Base (80/20),Baseline,True,5,approval_rate_difference,5.4527133432881403,2.3418628490017239,5
Base,Base (80/20),Baseline,True,5,retention_disparity,9.3200000000000021,2.5848791074245634,5
Base,Base (80/20),Baseline,True,5,retention_s0,39.799999999999997,0.97979589711327064,5
Base,Base (80/20),Baseline,True,5,retention_s1,30.48,2.5910615585122647,5
Base,Base (80/20),Baseline,True,5,unfairness,0.0060951211577988662,0.00050066480215470329,5
Base,Base (80/20),DP,False,1,approval_rate_difference,4.3199999999999994,3.2461669704437575,5
Base,Base (80/20),DP,False,1,retention_disparity,0,0,5
Base,Base (80/20),DP,False,1,retention_s0,100,0,5
Base,Base (80/20),DP,False,1,retention_s1,100,0,5
Base,Base (80/20),DP,False,1,unfairness,0.0064856270550558426,0,5
Base,Base (80/20),DP,False,2,approval_rate_difference,4.3200000000000021,2.9246538256689445,5
Base,Base (80/20),DP,False,2,retention_disparity,0,0,5
Base,Base (80/20),DP,False,2,retention_s0,100,0,5
Base,Base (80/20),DP,False,2,retention_s1,100,0,5
Base,Base (80/20),DP,False,2,unfairness,0.0064236394942541516,0.00044828890426374182,5
Base,Base (80/20),DP,False,3,approval_rate_difference,6.080000000000001,4.0191541398657495,5
Base,Base (80/20),DP,False,3,retention_disparity,0,0,5
Base,Base (80/20),DP,False,3,retention_s0,100,0,5
Base,Base (80/20),DP,False,3,retention_s1,100,0,5
Base,Base (80/20),DP,False,3,unfairness,0.0063092958882631891,0.00065944235268907314,5
Base,Base (80/20),DP,False,4,approval_rate_difference,2.280000000000002,4.096046874731786,5
Base,Base (80/20),DP,False,4,retention_disparity,0,0,5
Base,Base (80/20),DP,False,4,retention_s0,100,0,5
Base,Base (80/20),DP,False,4,retention_s1,100,0,5
