dataset,network,seed,n,edges,mean_degree,degree_std,isolates,same_group_edge_share,clustering,components
Base,Base (80/20),2026,1000,5000,10,0,0,0.80000000000000004,0.0087333333333333082,1
Base,Base (80/20),7,1000,5000,10,0,0,0.80000000000000004,0.0093333333333333064,1
Base,Base (80/20),13,1000,5000,10,0,0,0.80000000000000004,0.0091999999999999738,1
Base,Base (80/20),42,1000,5000,10,0,0,0.80000000000000004,0.0095333333333333069,1
Base,Base (80/20),99,1000,5000,10,0,0,0.80000000000000004,0.0091333333333333076,1
Base,Erdős–Rényi,2026,1000,5102,10.204000000000001,3.2019344153183398,0,0.50450803606428851,0.0098671041978317629,1
Base,Erdős–Rényi,7,1000,5051,10.102,3.1317081600941044,0,0.5008909126905563,0.0096712669339604346,1
Base,Erdős–Rényi,13,1000,5060,10.119999999999999,3.1858436873142408,0,0.50158102766798418,0.0098001594638591621,1
Base,Erdős–Rényi,42,1000,4995,9.9900000000000002,3.1359049730500446,0,0.4928928928928929,0.010048316080204634,1
Base,Erdős–Rényi,99,1000,5066,10.132,3.1953991925892451,0,0.51006711409395977,0.010902210044857108,1
Base,Watts–Strogatz,2026,1000,5000,10,0.97365291557104683,0,0.49180000000000001,0.49176298146298186,1
Base,Watts–Strogatz,7,1000,5000,10,1.0178408519999578,0,0.49480000000000002,0.48120293040293094,1
Base,Watts–Strogatz,13,1000,5000,10,0.98386991009990743,0,0.50760000000000005,0.48652053502053538,1
Base,Watts–Strogatz,42,1000,5000,10,0.95916630466254393,0,0.49819999999999998,0.49869043179043177,1
Base,Watts–Strogatz,99,1000,5000,10,0.90111042608550485,0,0.495,0.50448942723942736,1
Variant I,Base (80/20),2026,1000,5000,10,0,0,0.80000000000000004,0.0087333333333333082,1
Variant I,Base (80/20),7,1000,5000,10,0,0,0.80000000000000004,0.0093333333333333064,1
Variant I,Base (80/20),13,1000,5000,10,0,0,0.80000000000000004,0.0091999999999999738,1
Variant I,Base (80/20),42,1000,5000,10,0,0,0.80000000000000004,0.0095333333333333069,1
Variant I,Base (80/20),99,1000,5000,10,0,0,0.80000000000000004,0.0091333333333333058,1
Variant I,Erdős–Rényi,2026,1000,5102,10.204000000000001,3.2019344153183398,0,0.50646805174441401,0.0098671041978317629,1
Variant I,Erdős–Rényi,7,1000,5051,10.102,3.1317081600941044,0,0.50128687388635917,0.0096712669339604346,1
Variant I,Erdős–Rényi,13,1000,5060,10.119999999999999,3.1858436873142408,0,0.50276679841897232,0.0098001594638591621,1
Variant I,Erdős–Rényi,42,1000,4995,9.9900000000000002,3.1359049730500446,0,0.49949949949949951,0.010048316080204634,1
Variant I,Erdős–Rényi,99,1000,5066,10.132,3.1953991925892451,0,0.4978286616660087,0.010902210044857108,1
Variant I,Watts–Strogatz,2026,1000,5000,10,0.97365291557104683,0,0.50980000000000003,0.49176298146298186,1
Variant I,Watts–Strogatz,7,1000,5000,10,1.0178408519999578,0,0.498,0.48120293040293094,1
Variant I,Watts–Strogatz,13,1000,5000,10,0.98386991009990743,0,0.50639999999999996,0.48652053502053538,1
Variant I,Watts–Strogatz,42,1000,5000,10,0.95916630466254393,0,0.49959999999999999,0.49869043179043177,1
Variant I,Watts–Strogatz,99,1000,5000,10,0.90111042608550485,0,0.50800000000000001,0.50448942723942736,1
Variant II,Base (80/20),2026,1000,5000,10,0,0,0.80000000000000004,0.0087333333333333082,1
Variant II,Base (80/20),7,1000,5000,10,0,0,0.80000000000000004,0.0093333333333333064,1
Variant II,Base (80/20),13,1000,5000,10,0,0,0.80000000000000004,0.0091999999999999738,1
Variant II,Base (80/20),42,1000,5000,10,0,0,0.80000000000000004,0.0095333333333333069,1
Variant II,Base (80/20),99,1000,5000,10,0,0,0.80000000000000004,0.0091333333333333076,1
Variant II,Erdős–Rényi,2026,1000,5102,10.204000000000001,3.2019344153183398,0,0.50450803606428851,0.0098671041978317629,1
Variant II,Erdős–Rényi,7,1000,5051,10.102,3.1317081600941044,0,0.5008909126905563,0.0096712669339604346,1
Variant II,Erdős–Rényi,13,1000,5060,10.119999999999999,3.1858436873142408,0,0.50158102766798418,0.0098001594638591621,1
Variant II,Erdős–Rényi,42,1000,4995,9.9900000000000002,3.1359049730500446,0,0.4928928928928929,0.010048316080204634,1
Variant II,Erdős–Rényi,99,1000,5066,10.132,3.1953991925892451,0,0.51006711409395977,0.010902210044857108,1
Variant II,Watts–Strogatz,2026,1000,5000,10,0.97365291557104683,0,0.49180000000000001,0.49176298146298186,1
Variant II,Watts–Strogatz,7,1000,5000,10,1.0178408519999578,0,0.49480000000000002,0.48120293040293094,1
Variant II,Watts–Strogatz,13,1000,5000,10,0.98386991009990743,0,0.50760000000000005,0.48652053502053538,1
Variant II,Watts–Strogatz,42,1000,5000,10,0.95916630466254393,0,0.49819999999999998,0.49869043179043177,1
Variant II,Watts–Strogatz,99,1000,5000,10,0.90111042608550485,0,0.495,0.50448942723942736,1
