dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference,average_retention_disparity
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0057303797397876277,100,99.400000000000006,0.59999999999999432,1.4144869215291789,0.25
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0018110804341147091,100,100,0,1.4000000000000012,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,5,0.0063441559076309328,100,83,17,0.72289156626506035,14.900000000000002
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,False,5,0.0003576166629791766,100,100,0,1.4000000000000012,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,True,5,0.006336680531501715,100,83.399999999999991,16.600000000000009,0.7194244604316502,14.600000000000001
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),2026,2026,False,5,0.00034956896305082807,100,100,0,1.4000000000000012,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,True,5,0.024957689244663517,44.200000000000003,48.199999999999996,3.9999999999999929,-8.2086329584498898,3.0999999999999961
Base,Base (80/20),EO,Base (80/20),Base (80/20),2026,2026,False,5,0.00062867730444826631,100,100,0,-6.399999999999995,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,True,5,0.035901811975734943,47.199999999999996,52.600000000000001,5.4000000000000057,-7.1953341496423295,4
Base,Base (80/20),DP,Base (80/20),Base (80/20),2026,2026,False,5,0.0011429128734443683,100,100,0,-5.9999999999999947,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,True,5,0.0037090882419978932,99.599999999999994,98.599999999999994,1,1.8337039842941771,0.85000000000000142
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),7,7,False,5,0.0017570289767590008,100,100,0,1.8000000000000016,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,True,5,0.0062834091186523278,100,85.399999999999991,14.600000000000009,1.4393442622950836,12.450000000000003
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),7,7,False,5,0.00035835003852846548,100,100,0,3.2000000000000028,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,True,5,0.0062415513992309934,100,85.399999999999991,14.600000000000009,1.4393442622950836,12.450000000000003
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),7,7,False,5,0.00031564486026769423,100,100,0,3.2000000000000028,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,True,5,0.034180976767963112,42.399999999999999,47.599999999999994,5.1999999999999957,-0.091168542888853121,2.5999999999999961
Base,Base (80/20),EO,Base (80/20),Base (80/20),7,7,False,5,0.00062857895264467611,100,100,0,3.0000000000000027,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,True,5,0.034480612742349204,47.199999999999996,52.200000000000003,5.0000000000000071,1.7160205208130441,2.8000000000000025
Base,Base (80/20),DP,Base (80/20),Base (80/20),7,7,False,5,0.0011426464515389423,100,100,0,1.9999999999999907,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,True,5,0.0061263274020771918,99,98.400000000000006,0.59999999999999432,1.8317319536831689,0.34999999999999787
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),13,13,False,5,0.0018178884137184381,100,100,0,1.8000000000000016,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,True,5,0.0095706286430359278,98.799999999999997,83.399999999999991,15.400000000000006,1.4388489208633115,14.500000000000004
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),13,13,False,5,0.00028948163986208808,100,100,0,2.8000000000000025,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,True,5,0.00957583248615268,98.799999999999997,83.399999999999991,15.400000000000006,1.4388489208633115,14.500000000000004
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),13,13,False,5,0.00028638911247258481,100,100,0,2.8000000000000025,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,True,5,0.0249316656984237,42.199999999999996,46,3.8000000000000043,-9.8495775808778099,3.3000000000000043
Base,Base (80/20),EO,Base (80/20),Base (80/20),13,13,False,5,0.00062867732533389287,100,100,0,-3.6000000000000032,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,True,5,0.019029105290743087,46.600000000000001,50.399999999999999,3.7999999999999972,-6.9861707200763012,2.9499999999999975
Base,Base (80/20),DP,Base (80/20),Base (80/20),13,13,False,5,0.001143228589218781,100,100,0,-4.5999999999999925,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,True,5,0.0017846811938463381,100,99.200000000000003,0.79999999999999716,0.2080645161290362,0.59999999999999787
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),42,42,False,5,0.0017846811938463381,100,100,0,0.20000000000000018,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,True,5,0.0078622388839721946,99.200000000000003,85.599999999999994,13.600000000000009,0.70093457943924964,11.200000000000006
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),42,42,False,5,0.00034415602684023661,100,100,0,2.200000000000002,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,True,5,0.0078676669597625981,99.200000000000003,85.599999999999994,13.600000000000009,0.70093457943924964,11.200000000000006
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),42,42,False,5,0.0003390896320343284,100,100,0,2.200000000000002,0
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,True,5,0.038071846032244672,42.799999999999997,48.799999999999997,6,7.3234257698789662,6.9999999999999982
Base,Base (80/20),EO,Base (80/20),Base (80/20),42,42,False,5,0.00062839533896708044,100,100,0,1.7999999999999905,0
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,True,5,0.013310724731855683,49.799999999999997,51.800000000000004,2.0000000000000071,6.8381634646694884,4.9000000000000021
Base,Base (80/20),DP,Base (80/20),Base (80/20),42,42,False,5,0.0011417222389552562,100,100,0,2.200000000000002,0
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,True,5,0.0060522087242488309,98.599999999999994,98.200000000000003,0.39999999999999147,-0.605214345025884,0.30000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),99,99,False,5,0.001828488161213504,100,100,0,-0.60000000000000053,0
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),99,99,True,5,0.005386296272277824,98.200000000000003,85.200000000000003,13,0.50055936433263115,12.25
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),99,99,False,5,0.00072970306873321178,100,100,0,1.6000000000000014,0
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,True,5,0.0053917865753173588,98.200000000000003,85.200000000000003,13,0.50055936433263115,12.25
Base,Base (80/20),LCF-active,Base (80/20),Base (80/20),99,99,False,5,0.00072258090972898703,100,100,0,1.6000000000000014,0
