dataset,network,model,opt_out,unfairness_mean,unfairness_std,retention_disparity_mean,retention_disparity_std,average_retention_disparity_mean,average_retention_disparity_std
Base,Base (80/20),Baseline,False,0.0017998334359303979,2.5827824675200804e-05,0,0,0,0
Base,Base (80/20),Baseline,True,0.0046805370603915765,0.0016972717238901245,0.6799999999999955,0.20396078054371428,0.46999999999999958,0.2249444375840402
Base,Base (80/20),DP,False,0.0011426313800120935,5.0257300812018962e-07,0,0,0,0
Base,Base (80/20),DP,True,0.021537422190218414,0.012020665734257616,3.4400000000000035,1.6989408465276252,3.3800000000000012,0.94794514609232505
Base,Base (80/20),EO,False,0.00062861435456902366,1.21375931219244e-07,0,0,0,0
Base,Base (80/20),EO,True,0.024749549890222898,0.012666140704349665,3.7999999999999985,2.0630075133164198,3.7499999999999987,1.6437761404765554
Base,Base (80/20),LCF-active,False,0.00040265469551088452,0.00016143097104199641,0,0,0,0
Base,Base (80/20),LCF-active,True,0.0070827035903930687,0.0014802126162879725,14.640000000000006,1.2800000000000018,13.000000000000004,1.3352902306240384
Base,Base (80/20),LCF-full,False,0.0004158614873886357,0.00015894030541976464,0,0,0,0
Base,Base (80/20),LCF-full,True,0.0070893457651138416,0.0014737264244290354,14.720000000000004,1.4062716664997548,13.060000000000002,1.4104609175726912
Base,Erdős–Rényi,Baseline,False,0.0017969371789617438,2.5911109669721861e-05,0,0,0,0
Base,Erdős–Rényi,Baseline,True,0.0046156528530030497,0.0039936144460959114,1.1999999999999971,0.6066300355241262,0.88999999999999846,0.58172158288995912
Base,Erdős–Rényi,DP,False,0.0011465200724092961,5.0598254794430844e-07,0,0,0,0
Base,Erdős–Rényi,DP,True,0.017514361025331861,0.0067029495698714189,2.5600000000000009,1.1056219968868219,3.1300000000000017,1.1830469136936221
Base,Erdős–Rényi,EO,False,0.00063077650777199068,1.2221188904979114e-07,0,0,0,0
Base,Erdős–Rényi,EO,True,0.018616105916039814,0.010983871312008195,2.6399999999999979,1.8607525359380801,3.6499999999999964,1.2324771803161294
Base,Erdős–Rényi,LCF-active,False,0.00041211891174319781,0.00015947566359797929,0,0,0,0
Base,Erdős–Rényi,LCF-active,True,0.0082684272050857818,0.0056014629008989299,13.080000000000002,2.0301724064719209,11.4,1.9284708968506621
Base,Erdős–Rényi,LCF-full,False,0.00042075793743134859,0.00016043426072619678,0,0,0,0
Base,Erdős–Rényi,LCF-full,True,0.0082736157178878722,0.0056031504008854762,13.160000000000002,1.9283153269110282,11.479999999999999,1.8112426673419557
Base,Watts–Strogatz,Baseline,False,0.0017769635124555538,2.4724228961154732e-05,0,0,0,0
Base,Watts–Strogatz,Baseline,True,0.0026885764829762903,0.0028194961294625491,0.55999999999999939,0.26532998322843021,0.40000000000000002,0.12247448713915747
Base,Watts–Strogatz,DP,False,0.0011265241354826427,4.8857709033361777e-07,0,0,0,0
Base,Watts–Strogatz,DP,True,0.017009701460052262,0.015724517464790994,2.7200000000000002,2.3446961423604544,3.3600000000000008,1.8513238506539065
Base,Watts–Strogatz,EO,False,0.00061959951126646653,1.1792652639985602e-07,0,0,0,0
Base,Watts–Strogatz,EO,True,0.015236361529952924,0.0078597094176976173,2.4400000000000004,1.2611106216347592,4.0499999999999972,0.75564541949250119
Base,Watts–Strogatz,LCF-active,False,0.00041366961002349268,0.00016001057440772251,0,0,0,0
