dataset,network,model,training_network,evaluation_network,seed,graph_seed,opt_out,step,unfairness,retention_s0,retention_s1,retention_disparity,approval_rate_difference
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,1,0.0022804378935982195,100,100,0,1.4000000000000012
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,2,0.0021432764315153507,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,3,0.0039987116493733765,100,99.799999999999997,0.20000000000000284,0.80320641282565219
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,4,0.003891296518058307,100,99.799999999999997,0.20000000000000284,1.8048096192384788
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,True,5,0.0057303797397876277,100,99.400000000000006,0.59999999999999432,1.4144869215291789
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,1,0.0022804378935982195,100,100,0,1.4000000000000012
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,2,0.0021432764315153507,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,3,0.0020393321362536243,100,100,0,0.80000000000000071
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,4,0.0019287986331519846,100,100,0,1.8000000000000016
Base,Base (80/20),Baseline,Base (80/20),Base (80/20),2026,2026,False,5,0.0018110804341147091,100,100,0,1.4000000000000012
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,1,0.0033942106962204788,100,100,0,13.4
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,2,0.005379931926727255,100,89.200000000000003,10.799999999999997,8.1443946188340828
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,3,0.0071655837297439628,100,84.599999999999994,15.400000000000006,3.1096926713948037
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,4,0.0068149030208587424,100,83.599999999999994,16.400000000000006,2.431578947368418
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,True,5,0.0063441559076309328,100,83,17,0.72289156626506035
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,False,1,0.0033942106962204788,100,100,0,13.4
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,False,2,0.0016339082717895526,100,100,0,10.799999999999999
Base,Base (80/20),LCF-full,Base (80/20),Base (80/20),2026,2026,False,3,0.0012710855007171951,100,100,0,5.600000000000005
