dataset,network,model,opt_out,step,metric,mean,std,n_valid_seeds
Base,Base (80/20),Baseline,False,1,approval_rate_difference,1.5200000000000014,0.95163018026962631,5
Base,Base (80/20),Baseline,False,1,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,1,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,1,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,1,unfairness,0.0022804378935982195,0,5
Base,Base (80/20),Baseline,False,2,approval_rate_difference,1.160000000000001,0.62481997407253287,5
Base,Base (80/20),Baseline,False,2,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,2,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,2,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,2,unfairness,0.0021466011285260931,1.0190756158018379e-05,5
Base,Base (80/20),Baseline,False,3,approval_rate_difference,0.6800000000000006,0.16000000000000014,5
Base,Base (80/20),Baseline,False,3,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,3,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,3,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,3,unfairness,0.0020286233071217909,1.3524674076658701e-05,5
Base,Base (80/20),Baseline,False,4,approval_rate_difference,1.5200000000000014,0.20396078054371158,5
Base,Base (80/20),Baseline,False,4,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,4,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,4,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,4,unfairness,0.0019075192752251668,1.7107734440583763e-05,5
Base,Base (80/20),Baseline,False,5,approval_rate_difference,0.92000000000000082,0.96000000000000096,5
Base,Base (80/20),Baseline,False,5,retention_disparity,0,0,5
Base,Base (80/20),Baseline,False,5,retention_s0,100,0,5
Base,Base (80/20),Baseline,False,5,retention_s1,100,0,5
Base,Base (80/20),Baseline,False,5,unfairness,0.0017998334359303979,2.5827824675200804e-05,5
Base,Base (80/20),Baseline,True,1,approval_rate_difference,1.5200000000000014,0.95163018026962631,5
Base,Base (80/20),Baseline,True,1,retention_disparity,0,0,5
Base,Base (80/20),Baseline,True,1,retention_s0,100,0,5
Base,Base (80/20),Baseline,True,1,retention_s1,100,0,5
Base,Base (80/20),Baseline,True,1,unfairness,0.0022804378935982195,0,5
Base,Base (80/20),Baseline,True,2,approval_rate_difference,1.1666953345933861,0.62557122100242468,5
Base,Base (80/20),Baseline,True,2,retention_disparity,0.20000000000000001,0.17888543819998254,5
Base,Base (80/20),Baseline,True,2,retention_s0,99.799999999999997,0.25298221281346944,5
Base,Base (80/20),Baseline,True,2,retention_s1,99.599999999999994,0.35777087639996508,5
Base,Base (80/20),Baseline,True,2,unfairness,0.0024017364966836484,0.00070622319588675622,5
Base,Base (80/20),Baseline,True,3,approval_rate_difference,0.68937547528896026,0.15906232992142078,5
Base,Base (80/20),Baseline,True,3,retention_disparity,0.52000000000000168,0.32496153618543638,5
Base,Base (80/20),Baseline,True,3,retention_s0,99.679999999999993,0.41182520563947922,5
Base,Base (80/20),Baseline,True,3,retention_s1,99.159999999999997,0.38781438859330714,5
Base,Base (80/20),Baseline,True,3,unfairness,0.0043467142910957436,0.0023079658192619655,5
Base,Base (80/20),Baseline,True,4,approval_rate_difference,1.5349503344448245,0.20007056616374955,5
Base,Base (80/20),Baseline,True,4,retention_disparity,0.48000000000000115,0.34871191548325198,5
Base,Base (80/20),Baseline,True,4,retention_s0,99.560000000000002,0.54258639865002223,5
Base,Base (80/20),Baseline,True,4,retention_s1,99.159999999999997,0.38781438859330714,5
Base,Base (80/20),Baseline,True,4,unfairness,0.0055090526757997525,0.0029292226950569412,5
Base,Base (80/20),Baseline,True,5,approval_rate_difference,0.93655460612193553,0.97389815672825297,5
Base,Base (80/20),Baseline,True,5,retention_disparity,0.6799999999999955,0.20396078054371428,5
Base,Base (80/20),Baseline,True,5,retention_s0,99.439999999999998,0.55713553108736613,5
Base,Base (80/20),Baseline,True,5,retention_s1,98.760000000000005,0.46303347611160994,5
Base,Base (80/20),Baseline,True,5,unfairness,0.0046805370603915765,0.0016972717238901245,5
Base,Base (80/20),DP,False,1,approval_rate_difference,0.52000000000000057,3.0895954427723988,5
